train_loss,epoch,step,val_loss
1.3689677715301514,0,49,
0.8042714595794678,0,99,
,0,133,0.7260907888412476
0.9111459255218506,1,149,
0.8067657351493835,1,199,
0.44438406825065613,1,249,
,1,267,0.6019328832626343
0.5449915528297424,2,299,
0.6407834887504578,2,349,
0.6234524250030518,2,399,
,2,401,0.46521249413490295
0.5853897333145142,3,449,
0.3383578658103943,3,499,
,3,535,0.36989450454711914
0.082425057888031,4,549,
0.31050819158554077,4,599,
0.17205308377742767,4,649,
,4,669,0.26816999912261963
