train_loss,epoch,step,val_loss
1.089524745941162,0,49,
0.8160009384155273,0,99,
0.9592382907867432,0,149,
1.055911660194397,0,199,
0.4628809988498688,0,249,
0.599846363067627,0,299,
,0,327,0.6257205009460449
0.5229344964027405,1,349,
0.647132933139801,1,399,
0.753460705280304,1,449,
0.9442036747932434,1,499,
0.4822382926940918,1,549,
0.4503881335258484,1,599,
0.3940797448158264,1,649,
,1,655,0.4841570258140564
0.3929251730442047,2,699,
0.3578876256942749,2,749,
0.2895374894142151,2,799,
0.4671602249145508,2,849,
0.5303443074226379,2,899,
0.37120503187179565,2,949,
,2,983,0.3744947612285614
0.53810054063797,3,999,
0.41995933651924133,3,1049,
0.6078732013702393,3,1099,
0.376054048538208,3,1149,
0.12176895886659622,3,1199,
0.46885204315185547,3,1249,
0.228318452835083,3,1299,
,3,1311,0.3016809821128845
0.4249231815338135,4,1349,
1.0739659070968628,4,1399,
0.30857282876968384,4,1449,
0.32195156812667847,4,1499,
0.23155638575553894,4,1549,
0.2522650957107544,4,1599,
,4,1639,0.23314498364925385
